genres,person_id,imdb_score,name
action,12790,9.3,Olivia Hack
action,1303,9.3,Jessie Flower
action,21033,9.3,Zach Tyler
action,336830,9.3,André Sogliuzzo
action,86591,9.3,Cricket Leigh
animation,1303,9.3,Jessie Flower
animation,21033,9.3,Zach Tyler
animation,28024,9.3,Dante Basco
animation,336830,9.3,André Sogliuzzo
animation,86591,9.3,Cricket Leigh
comedy,71076,9.2,Ra Mi-ran
comedy,44199,9.2,Kim Sung-kyun
comedy,38441,9.2,Park Bo-gum
comedy,140196,9.2,Ahn Jae-hong
comedy,747462,9.2,Kim Seol
comedy,1296454,9.2,Lee Se-young
comedy,103374,9.2,Lee Hye-ri
comedy,101292,9.2,Ryu Hye-young
comedy,140194,9.2,Ryu Jun-yeol
crime,20552,9.5,Betsy Brandt
crime,37752,9.5,Anna Gunn
crime,85485,9.5,RJ Mitte
documentation,439923,9.1,Steve Kerr
documentation,408553,9.1,Phil Jackson
documentation,479703,9.1,Scottie Pippen
documentation,22385,9.1,Michael Jordan
documentation,36303,9.1,Dennis Rodman
drama,20552,9.5,Betsy Brandt
drama,37752,9.5,Anna Gunn
european,107375,8.9,Sanjeev Kohli
european,107380,8.9,Mark Cox
european,170376,8.9,Greg Hemphill
european,317847,8.9,Gavin Mitchell
european,727786,8.9,Jane McCarry
european,727787,8.9,Paul Riley
european,86802,8.9,Ford Kiernan
family,86591,9.3,Cricket Leigh
family,336830,9.3,André Sogliuzzo
family,28024,9.3,Dante Basco
family,21033,9.3,Zach Tyler
family,1303,9.3,Jessie Flower
fantasy,1303,9.3,Jessie Flower
fantasy,21033,9.3,Zach Tyler
fantasy,28024,9.3,Dante Basco
fantasy,336830,9.3,André Sogliuzzo
fantasy,86591,9.3,Cricket Leigh
history,22385,9.1,Michael Jordan
history,36303,9.1,Dennis Rodman
history,408553,9.1,Phil Jackson
history,439923,9.1,Steve Kerr
history,479703,9.1,Scottie Pippen
horror,86694,9.0,Yui Ishikawa
horror,453970,9.0,Kisho Taniyama
horror,140,9.0,Ayane Sakura
horror,39331,9.0,Marina Inoue
music,4726,8.8,Tim Kelleher
music,301776,8.8,Shannon Welles
music,351504,8.8,Johnathan Geare
music,351505,8.8,Ryan Hayward
music,351506,8.8,Coralie Dedykere
music,351507,8.8,Nicolas Clerc
music,351508,8.8,Jean-Michel Dagory
music,392464,8.8,Felix Scott
music,46263,8.8,Yuji Okumoto
music,52379,8.8,Claire Geare
music,91220,8.8,Silvie Laguna
music,77040,8.8,Miranda Nolan
music,77136,8.8,Tohoru Masamune
music,77469,8.8,Peter Basham
music,82056,8.8,Carl Gilliard
music,84050,8.8,Earl Cameron
music,85756,8.8,Jack Murray
music,3016,8.8,Pete Postlethwaite
music,984016,8.8,Tai-Li Lee
music,984017,8.8,Magnus Nolan
music,984023,8.8,Helena Cullinan
music,5811,8.8,Andrew Pleavin
music,3015,8.8,Tom Berenger
music,2269290,8.8,Daniel Girondeaud
music,3013,8.8,Dileep Rao
music,3014,8.8,Marion Cotillard
music,1033815,8.8,Adam Cole
music,1284975,8.8,Lisa Reynolds
music,129032,8.8,Virgile Bramly
music,14204,8.8,Nicole Pulliam
music,1625708,8.8,Mark Fleischmann
music,1640,8.8,Tom Hardy
music,1652,8.8,Lukas Haas
music,16641,8.8,Taylor Geare
music,1710,8.8,Russ Fega
music,1641,8.8,Leonardo DiCaprio
music,2150,8.8,Talulah Riley
music,3012,8.8,Cillian Murphy
music,1789502,8.8,Jill Maddrell
music,3010,8.8,Joseph Gordon-Levitt
music,294917,8.8,Marc Raducci
music,2806,8.8,Elliot Page
music,3011,8.8,Ken Watanabe
music,2740,8.8,Michael Gaston
music,231310,8.8,Natasha Beaumont
music,27692,8.8,Alex Lombard
reality,1099510,8.9,Niklas Ekstedt
reality,614,8.9,Heston Blumenthal
reality,843741,8.9,Jayde Adams
reality,958249,8.9,Carla Hall
romance,140196,9.2,Ahn Jae-hong
romance,71076,9.2,Ra Mi-ran
romance,44199,9.2,Kim Sung-kyun
romance,747462,9.2,Kim Seol
romance,140195,9.2,Lee Dong-hwi
romance,103760,9.2,Sung Dong-il
romance,1296454,9.2,Lee Se-young
romance,103374,9.2,Lee Hye-ri
romance,101292,9.2,Ryu Hye-young
romance,140194,9.2,Ryu Jun-yeol
scifi,12790,9.3,Olivia Hack
scifi,1303,9.3,Jessie Flower
scifi,21033,9.3,Zach Tyler
scifi,28024,9.3,Dante Basco
scifi,336830,9.3,André Sogliuzzo
scifi,86591,9.3,Cricket Leigh
sport,479703,9.1,Scottie Pippen
sport,439923,9.1,Steve Kerr
sport,408553,9.1,Phil Jackson
sport,22385,9.1,Michael Jordan
sport,36303,9.1,Dennis Rodman
thriller,13233,9.5,Bob Odenkirk
thriller,20552,9.5,Betsy Brandt
thriller,37752,9.5,Anna Gunn
war,140181,8.8,Naoya Uchida
war,47019,8.8,Kensho Ono
war,826547,8.8,Yuto Uemura
western,28180,8.9,Unsho Ishizuka
western,22311,8.9,Koichi Yamadera
western,28166,8.9,Megumi Hayashibara
western,93017,8.9,Aoi Tada
